name,description,video
A,(as in "the letter A"),A.mp4
A,(as in "the indefinite article"),A2.mp4
A BIT,(as in "a quantity or amount- a little bit"),A BIT.mp4
A LOT,(as in "many number of things"),A LOT.mp4
A LOT,(as in "a large quantity of one thing"),A LOT2.mp4
A LOT MORE,,A LOT MORE.mp4
AA,(as in "the letter A twice"),AA.mp4
AA,(as in "Alcoholics Anonymous"),AA2.mp4
AA,(as in "Associates Degree"),AA3.mp4
AAA,(as in "American Automobile Association"),AAA.mp4
AARON,(as in "the name"),AARON.mp4
ABANDON,,ABANDON.mp4
ABASHED,,ABASHED.mp4
ABBREVIATE,,ABBREVIATE.mp4
ABBREVIATION,,ABBREVIATION.mp4
ABBY,(as in "the name"),ABBY.mp4
ABC,,ABC.mp4
ABDOMEN,,ABDOMEN.mp4
ABDOMINAL HERNIA,,ABDOMINAL HERNIA.mp4
ABDUCT,,ABDUCT.mp4
ABE,(as in "the name"),ABE.mp4
ABIGAIL,(as in "the name"),ABIGAIL.mp4
ABILITY,|(as in "skilled, proficient, or good at")|,ABILITY.mp4
ABILITY,(as in "capable or can do something"),ABILITY2.mp4
ABLAZE,,ABLAZE.mp4
ABLE,(as in "being able to or can do something"),ABLE.mp4
ABLE,(as in "skilled or proficient"),ABLE2.mp4
ABNORMAL,,ABNORMAL.mp4
ABOLISH,,ABOLISH.mp4
ABORT,,ABORT.mp4
ABORTION,,ABORTION.mp4
ABOUT,(as in "concerning or regarding"),ABOUT.mp4
ABOUT,(as in "time"),ABOUT2.mp4
ABOUT TIME,(as in "finally or about time"),ABOUT TIME.mp4
ABOVE,,ABOVE.mp4
ABRAHAM,(as in "the father of many nations"),ABRAHAM.mp4
ABRAHAM,(as in "the name"),ABRAHAM2.mp4
ABRAHAM LINCOLN,(as in "the former president of the United States"),ABRAHAM LINCOLN.mp4
ABRASION,,ABRASION.mp4
ABRASIVE,,ABRASIVE.mp4
ABRUPT,,ABRUPT.mp4
ABSCESS,,ABSCESS.mp4
ABSENCE,,ABSENCE.mp4
ABSENT,,ABSENT.mp4
ABSOLUTION,,ABSOLUTION.mp4
ABSORB,,ABSORB.mp4
ABSTAIN,(as in "to refrain from eating"),ABSTAIN.mp4
ABSTAIN,(as in "to refrain from drinking alcohol"),ABSTAIN2.mp4
ABSTINENCE,(as in "to refrain from eating"),ABSTINENCE.mp4
ABSTINENCE,(as in "to refrain from drinking alcohol"),ABSTINENCE2.mp4
ABSTRACT,,ABSTRACT.mp4
ABSURD,(as in "an illogical or crazy idea or suggestion"),ABSURD.mp4
ABSURD,(as in "ludicrous or silly"),ABSURD2.mp4
ABUNDANCE,,ABUNDANCE.mp4
ABUNDANT,,ABUNDANT.mp4
ABUSE,(as in "physically repress someone"),ABUSE.mp4
ABUSE,(as in "to use improperly"),ABUSE2.mp4
AC,(as in "air conditioning"),AC.mp4
ACCELERATE,,ACCELERATE.mp4
ACCEPT,(as in "agree to"),ACCEPT.mp4
ACCESS,,ACCESS.mp4
ACCESSIBLE,,ACCESSIBLE.mp4
ACCIDENT,(as in "vehicles colliding"),ACCIDENT.mp4
ACCIDENT,(as in "mistake"),ACCIDENT2.mp4
ACCLAIM,,ACCLAIM.mp4
ACCLAMATION,,ACCLAMATION.mp4
ACCOLADE,,ACCOLADE.mp4
ACCOMPANY,,ACCOMPANY.mp4
ACCOMPLISH,,ACCOMPLISH.mp4
ACCOMPLISHMENT,,ACCOMPLISHMENT.mp4
ACCORDING TO,,ACCORDING TO.mp4
ACCORDION,,ACCORDION.mp4
