name,description,video
A,(as in "the letter A"),a.mp4
A,(as in "the indefinite article"),a2.mp4
A BIT,(as in "a quantity or amount- a little bit"),a_bit.mp4
A LOT,(as in "many number of things"),a_lot.mp4
A LOT,(as in "a large quantity of one thing"),a_lot2.mp4
A LOT MORE,,a_lot_more.mp4
AA,(as in "the letter A twice"),aa.mp4
AA,(as in "Alcoholics Anonymous"),aa2.mp4
AA,(as in "Associates Degree"),aa3.mp4
AAA,(as in "American Automobile Association"),aaa.mp4
AARON,(as in "the name"),aaron.mp4
ABANDON,,abandon.mp4
ABASHED,,abashed.mp4
ABBREVIATE,,abbreviate.mp4
ABBREVIATION,,abbreviation.mp4
ABBY,(as in "the name"),abby.mp4
ABC,,abc.mp4
ABDOMEN,,abdomen.mp4
ABDOMINAL HERNIA,,abdominal_hernia.mp4
ABDUCT,,abduct.mp4
ABE,(as in "the name"),abe.mp4
ABIGAIL,(as in "the name"),abigail.mp4
ABILITY,|(as in "skilled,_profic.mp4, or good at")|,ABILITY.mp4
ABILITY,(as in "capable or can do something"),ability2.mp4
ABLAZE,,ablaze.mp4
ABLE,(as in "being able to or can do something"),able.mp4
ABLE,(as in "skilled or proficient"),able2.mp4
ABNORMAL,,abnormal.mp4
ABOLISH,,abolish.mp4
ABORT,,abort.mp4
ABORTION,,abortion.mp4
ABOUT,(as in "concerning or regarding"),about.mp4
ABOUT,(as in "time"),about2.mp4
ABOUT TIME,(as in "finally or about time"),about_time.mp4
ABOVE,,above.mp4
ABRAHAM,(as in "the father of many nations"),abraham.mp4
ABRAHAM,(as in "the name"),abraham2.mp4
ABRAHAM LINCOLN,(as in "the former president of the United States"),abraham_lincoln.mp4
ABRASION,,abrasion.mp4
ABRASIVE,,abrasive.mp4
ABRUPT,,abrupt.mp4
ABSCESS,,abscess.mp4
ABSENCE,,absence.mp4
ABSENT,,absent.mp4
ABSOLUTION,,absolution.mp4
ABSORB,,absorb.mp4
ABSTAIN,(as in "to refrain from eating"),abstain.mp4
ABSTAIN,(as in "to refrain from drinking alcohol"),abstain2.mp4
ABSTINENCE,(as in "to refrain from eating"),abstinence.mp4
ABSTINENCE,(as in "to refrain from drinking alcohol"),abstinence2.mp4
ABSTRACT,,abstract1.mp4
ABSURD,(as in "an illogical or crazy idea or suggestion"),absurd.mp4
ABSURD,(as in "ludicrous or silly"),absurd2.mp4
ABUNDANCE,,abundance.mp4
ABUNDANT,,abundant.mp4
ABUSE,(as in "physically repress someone"),abuse.mp4
ABUSE,(as in "to use improperly"),abuse2.mp4
AC,(as in "air conditioning"),ac.mp4
ACCELERATE,,accelerate.mp4
ACCEPT,(as in "agree to"),accept.mp4
ACCESS,,access.mp4
ACCESSIBLE,,accessible.mp4
ACCIDENT,(as in "vehicles colliding"),accident.mp4
ACCIDENT,(as in "mistake"),accident2.mp4
ACCLAIM,,acclaim.mp4
ACCLAMATION,,acclamation.mp4
ACCOLADE,,accolade.mp4
ACCOMPANY,,accompany.mp4
ACCOMPLISH,,accomplish.mp4
ACCOMPLISHMENT,,accomplishment.mp4
ACCORDING TO,,according_to.mp4
ACCORDION,,accordion.mp4
ACCOUNT,(as in "any kind of account other than savings account"),account.mp4
ACCOUNT,(as in "bank account or to store"),account2.mp4
ACCOUNTANT,,accountant.mp4
ACCOUNTING,,accounting.mp4
ACCUMULATE,|(as in "gather together,_buil.mp4, or amass")|,ACCUMULATE.mp4
ACCUMULATE,(as in "to collect something"),accumulate2.mp4
ACCUMULATE,(as in "to collect or earn money"),accumulate3.mp4
