name;quote;person
anger;I don't like anybody to be angry with me. I'd rather have friends.;B. B. King
anger;Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else, you are the one who gets burned.;Buddha
anger;For every minute you remain angry, you give up sixty seconds of peace of mind.;Ralph Waldo Emerson
anger;There are two things a person should never be angry at, what they can help, and what they cannot.;Plato
contempt;Whatever you hold in contempt is your jailer.;Brendan Behan
contempt;The only cure for contempt is counter-contempt.;H. L. Mencken
contempt;To confer dignity, forgive. To express contempt, forget.;Mason Cooley
contempt;When you're being mean to someone, you can feel the audience just get cold.;Fred Armisen
contempt;People are not mean to us because they don’t like us, but because they don’t like themselves.;Jodi Aman
disgust;Disgust is a learned behaviour that finds fertile soil in ignorance, yielding a bountiful harvest of alienation, oppression, and hate.;Jamie Arpin-Ricci
disgust;You have to be disgusted with your current circumstances before your circumstances can change.;Eric Thomas
disgust;We are disgusted by the things that we desire, and we desire what disgusts us.;Mario Cuomo
fear;Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.;Marie Curie
fear;The only thing we have to fear is fear itself.;Franklin D. Roosevelt
fear;Without fear there cannot be courage.;Christopher Paolini
happiness;To be happy, we must not be too concerned with others.;Albert Camus
happiness;If you want to be happy, be.;Leo Tolstoy
happiness;If you want to be happy, set a goal that commands your thoughts, liberates your energy, and inspires your hopes.;Andrew Carnegie
neutral;Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it.;Bruce Lee
neutral;Unexpressed emotions will never die. They are buried alive and will come forth later in uglier ways.;Sigmund Freud
neutral;Everyone has their own ways of expression. I believe we all have a lot to say, but finding ways to say it is more than half the battle.;Criss Jami
sadness;Don’t cry because it’s over, smile because it happened.;Dr. Seuss
sadness;The best way to cheer yourself up is to try to cheer somebody else up.;Mark Twain
sadness;Learn to let go. That is the key to happiness.;Buddha
surprise;No matter who you think you are; there is always another version waiting to show up.;Bindu Madhav Tata
surprise;Even when all is lost and your faith has weakened, life will still surprise you.;Naide P Obiang
surprise;Blessed are they who expect nothing, for they will be pleasantly surprised.;Marty Rubin
