name;quote;person
kid;Adults are just outdated children.;Dr. Seuss
kid;Children are not things to be molded, but are people to be unfolded.;Jess Lair
teenager;In the time it takes you to understand a 14-year-old, he turns 15.;Robert Brault
teenager;It takes courage to grow up and become who you really are.;E. E. Cummings
youngadult;Logic will get you from A to B. Imagination will take you everywhere.;Albert Einstein
youngadult;Always bear in mind that your own resolution to succeed is more important than any other.;Abraham Lincoln
adult;Adults are just making things up as they go along. And when they’re scared, adults have no more answers than us kids.;Mike A. Lancaster
adult;You're dead if you aim only for kids. Adults are only kids grown up, anyway.;Walt Disney
elderly;The glory of the elderly is their insight to life.;Lailah Gifty Akita
elderly;The tragedy of old age is not that one is old, but that one is young.;Oscar Wilde
